,T,2 Training Error,2 Training Error %,2 Testing Error,2 Testing Error %,4 Training Error,4 Training Error %,4 Testing Error,4 Testing Error %,6 Training Error,6 Training Error %,6 Testing Error,6 Testing Error %
0,0,422,8.44,1032,20.64,435,8.7,1069,21.38,402,8.04,1032,20.64
0,1,718,14.360000000000001,1314,26.279999999999998,684,13.68,1300,26.0,670,13.4,1304,26.08
0,2,288,5.76,1002,20.04,314,6.279999999999999,1006,20.119999999999997,297,5.94,993,19.86
0,3,450,9.0,1125,22.5,449,8.98,1125,22.5,425,8.5,1123,22.46
0,4,249,4.9799999999999995,971,19.42,270,5.4,958,19.16,256,5.12,992,19.84
0,5,336,6.72,1065,21.3,355,7.1,1069,21.38,331,6.619999999999999,1070,21.4
0,6,231,4.62,957,19.139999999999997,238,4.760000000000001,960,19.2,212,4.24,972,19.439999999999998
0,7,293,5.86,1017,20.34,302,6.04,1028,20.560000000000002,296,5.92,1041,20.82
0,8,204,4.08,960,19.2,217,4.34,957,19.139999999999997,223,4.46,965,19.3
0,9,250,5.0,1009,20.18,267,5.34,1007,20.14,273,5.46,1018,20.36
