,T,Training Error,Training Error %,Testing Error,Testing Error %
0,0,512,10.24,796,15.920000000000002
1,1,779,15.58,1083,21.66
2,2,377,7.539999999999999,674,13.48
3,3,514,10.280000000000001,824,16.48
4,4,315,6.3,614,12.280000000000001
5,5,411,8.219999999999999,739,14.78
6,6,283,5.66,600,12.0
7,7,368,7.359999999999999,702,14.04
8,8,284,5.680000000000001,604,12.08
9,9,347,6.94,655,13.100000000000001
10,10,277,5.54,589,11.78
11,11,326,6.52,643,12.86
12,12,267,5.34,585,11.700000000000001
13,13,311,6.22,639,12.78
14,14,262,5.24,584,11.68
15,15,302,6.04,630,12.6
16,16,269,5.38,574,11.48
17,17,305,6.1,618,12.36
18,18,267,5.34,580,11.600000000000001
19,19,297,5.94,614,12.280000000000001
20,20,269,5.38,579,11.58
21,21,295,5.8999999999999995,606,12.120000000000001
22,22,273,5.46,580,11.600000000000001
23,23,298,5.96,607,12.139999999999999
24,24,275,5.5,582,11.64
25,25,296,5.92,600,12.0
26,26,268,5.36,576,11.52
27,27,287,5.74,605,12.1
28,28,262,5.24,577,11.540000000000001
29,29,290,5.800000000000001,606,12.120000000000001
30,30,264,5.28,584,11.68
31,31,287,5.74,607,12.139999999999999
32,32,265,5.3,589,11.78
33,33,283,5.66,609,12.18
34,34,267,5.34,590,11.799999999999999
35,35,288,5.76,610,12.2
36,36,273,5.46,595,11.899999999999999
37,37,287,5.74,612,12.24
38,38,268,5.36,595,11.899999999999999
39,39,283,5.66,610,12.2
40,40,266,5.319999999999999,585,11.700000000000001
41,41,284,5.680000000000001,601,12.02
42,42,267,5.34,584,11.68
43,43,282,5.64,605,12.1
44,44,262,5.24,592,11.84
45,45,278,5.56,605,12.1
46,46,265,5.3,585,11.700000000000001
47,47,279,5.58,597,11.940000000000001
48,48,266,5.319999999999999,584,11.68
49,49,273,5.46,598,11.959999999999999
50,50,266,5.319999999999999,583,11.66
51,51,284,5.680000000000001,600,12.0
52,52,273,5.46,581,11.62
53,53,280,5.6000000000000005,595,11.899999999999999
54,54,268,5.36,586,11.72
55,55,280,5.6000000000000005,596,11.92
56,56,266,5.319999999999999,589,11.78
57,57,279,5.58,593,11.86
58,58,270,5.4,583,11.66
59,59,278,5.56,593,11.86
60,60,269,5.38,581,11.62
61,61,282,5.64,590,11.799999999999999
62,62,273,5.46,583,11.66
63,63,283,5.66,593,11.86
64,64,272,5.4399999999999995,586,11.72
65,65,281,5.62,593,11.86
66,66,271,5.42,589,11.78
67,67,280,5.6000000000000005,595,11.899999999999999
68,68,267,5.34,591,11.82
69,69,285,5.7,597,11.940000000000001
70,70,273,5.46,585,11.700000000000001
71,71,282,5.64,592,11.84
72,72,273,5.46,589,11.78
73,73,284,5.680000000000001,595,11.899999999999999
74,74,270,5.4,590,11.799999999999999
75,75,286,5.72,599,11.98
76,76,271,5.42,590,11.799999999999999
77,77,283,5.66,594,11.88
78,78,271,5.42,588,11.76
79,79,283,5.66,594,11.88
80,80,273,5.46,588,11.76
81,81,281,5.62,595,11.899999999999999
82,82,267,5.34,588,11.76
83,83,280,5.6000000000000005,592,11.84
84,84,268,5.36,588,11.76
85,85,277,5.54,590,11.799999999999999
86,86,266,5.319999999999999,585,11.700000000000001
87,87,273,5.46,590,11.799999999999999
88,88,269,5.38,579,11.58
89,89,278,5.56,586,11.72
90,90,269,5.38,578,11.559999999999999
91,91,278,5.56,584,11.68
92,92,272,5.4399999999999995,577,11.540000000000001
93,93,276,5.52,585,11.700000000000001
94,94,267,5.34,578,11.559999999999999
95,95,273,5.46,583,11.66
96,96,268,5.36,577,11.540000000000001
97,97,277,5.54,582,11.64
98,98,269,5.38,578,11.559999999999999
99,99,277,5.54,587,11.74
100,100,272,5.4399999999999995,580,11.600000000000001
101,101,279,5.58,582,11.64
102,102,272,5.4399999999999995,578,11.559999999999999
103,103,274,5.48,581,11.62
104,104,270,5.4,577,11.540000000000001
105,105,280,5.6000000000000005,579,11.58
106,106,272,5.4399999999999995,575,11.5
107,107,277,5.54,581,11.62
108,108,269,5.38,576,11.52
109,109,278,5.56,580,11.600000000000001
110,110,270,5.4,575,11.5
111,111,278,5.56,579,11.58
112,112,273,5.46,576,11.52
113,113,276,5.52,578,11.559999999999999
114,114,272,5.4399999999999995,575,11.5
115,115,279,5.58,578,11.559999999999999
116,116,270,5.4,576,11.52
117,117,276,5.52,579,11.58
118,118,268,5.36,578,11.559999999999999
119,119,275,5.5,580,11.600000000000001
120,120,270,5.4,578,11.559999999999999
121,121,278,5.56,582,11.64
122,122,274,5.48,578,11.559999999999999
123,123,280,5.6000000000000005,582,11.64
124,124,273,5.46,577,11.540000000000001
125,125,279,5.58,583,11.66
126,126,270,5.4,576,11.52
127,127,275,5.5,578,11.559999999999999
128,128,272,5.4399999999999995,576,11.52
129,129,277,5.54,578,11.559999999999999
130,130,273,5.46,575,11.5
131,131,280,5.6000000000000005,579,11.58
132,132,277,5.54,575,11.5
133,133,281,5.62,578,11.559999999999999
134,134,271,5.42,572,11.44
135,135,275,5.5,575,11.5
136,136,272,5.4399999999999995,572,11.44
137,137,276,5.52,577,11.540000000000001
138,138,271,5.42,572,11.44
139,139,277,5.54,575,11.5
140,140,271,5.42,572,11.44
141,141,278,5.56,576,11.52
142,142,274,5.48,572,11.44
143,143,280,5.6000000000000005,573,11.459999999999999
144,144,273,5.46,569,11.379999999999999
145,145,280,5.6000000000000005,577,11.540000000000001
146,146,276,5.52,570,11.4
147,147,281,5.62,573,11.459999999999999
148,148,274,5.48,571,11.42
149,149,279,5.58,577,11.540000000000001
150,150,270,5.4,572,11.44
151,151,279,5.58,576,11.52
152,152,270,5.4,570,11.4
153,153,275,5.5,574,11.48
154,154,273,5.46,569,11.379999999999999
155,155,280,5.6000000000000005,574,11.48
156,156,277,5.54,569,11.379999999999999
157,157,283,5.66,574,11.48
158,158,272,5.4399999999999995,568,11.360000000000001
159,159,280,5.6000000000000005,573,11.459999999999999
160,160,274,5.48,565,11.3
161,161,282,5.64,573,11.459999999999999
162,162,276,5.52,566,11.32
163,163,281,5.62,571,11.42
164,164,275,5.5,567,11.34
165,165,280,5.6000000000000005,570,11.4
166,166,277,5.54,566,11.32
167,167,278,5.56,570,11.4
168,168,275,5.5,569,11.379999999999999
169,169,279,5.58,572,11.44
170,170,278,5.56,569,11.379999999999999
171,171,279,5.58,572,11.44
172,172,274,5.48,570,11.4
173,173,280,5.6000000000000005,573,11.459999999999999
174,174,273,5.46,568,11.360000000000001
175,175,274,5.48,572,11.44
176,176,272,5.4399999999999995,569,11.379999999999999
177,177,275,5.5,571,11.42
178,178,271,5.42,567,11.34
179,179,276,5.52,571,11.42
180,180,274,5.48,569,11.379999999999999
181,181,278,5.56,572,11.44
182,182,272,5.4399999999999995,570,11.4
183,183,276,5.52,572,11.44
184,184,274,5.48,568,11.360000000000001
185,185,275,5.5,569,11.379999999999999
186,186,273,5.46,568,11.360000000000001
187,187,275,5.5,570,11.4
188,188,274,5.48,568,11.360000000000001
189,189,275,5.5,570,11.4
190,190,274,5.48,569,11.379999999999999
191,191,277,5.54,572,11.44
192,192,272,5.4399999999999995,566,11.32
