,T,Training Error,Training Error %,Testing Error,Testing Error %
0,0,596,11.92,624,12.479999999999999
1,1,596,11.92,624,12.479999999999999
2,2,596,11.92,624,12.479999999999999
3,3,596,11.92,624,12.479999999999999
4,4,562,11.24,587,11.74
5,5,568,11.360000000000001,609,12.18
6,6,550,11.0,565,11.3
7,7,550,11.0,565,11.3
8,8,534,10.68,552,11.04
9,9,534,10.68,554,11.08
10,10,528,10.56,544,10.879999999999999
11,11,534,10.68,551,11.020000000000001
12,12,519,10.38,536,10.72
13,13,527,10.54,544,10.879999999999999
14,14,520,10.4,540,10.8
15,15,521,10.42,527,10.54
16,16,529,10.58,542,10.84
17,17,535,10.7,540,10.8
18,18,531,10.620000000000001,540,10.8
19,19,528,10.56,535,10.7
20,20,524,10.48,538,10.76
21,21,525,10.5,530,10.6
22,22,524,10.48,530,10.6
23,23,520,10.4,527,10.54
24,24,518,10.36,528,10.56
25,25,518,10.36,526,10.52
26,26,525,10.5,521,10.42
27,27,518,10.36,524,10.48
28,28,520,10.4,522,10.440000000000001
29,29,519,10.38,525,10.5
30,30,523,10.459999999999999,523,10.459999999999999
31,31,521,10.42,522,10.440000000000001
32,32,523,10.459999999999999,523,10.459999999999999
33,33,521,10.42,525,10.5
34,34,515,10.299999999999999,524,10.48
35,35,517,10.34,525,10.5
36,36,516,10.32,527,10.54
37,37,518,10.36,526,10.52
38,38,514,10.280000000000001,526,10.52
39,39,513,10.26,528,10.56
40,40,514,10.280000000000001,530,10.6
41,41,513,10.26,532,10.639999999999999
42,42,514,10.280000000000001,532,10.639999999999999
43,43,516,10.32,530,10.6
44,44,515,10.299999999999999,534,10.68
45,45,516,10.32,531,10.620000000000001
46,46,514,10.280000000000001,535,10.7
47,47,514,10.280000000000001,533,10.66
48,48,513,10.26,533,10.66
49,49,513,10.26,531,10.620000000000001
50,50,514,10.280000000000001,530,10.6
51,51,513,10.26,532,10.639999999999999
52,52,518,10.36,534,10.68
53,53,517,10.34,532,10.639999999999999
54,54,515,10.299999999999999,534,10.68
55,55,515,10.299999999999999,534,10.68
56,56,516,10.32,535,10.7
57,57,515,10.299999999999999,534,10.68
58,58,516,10.32,535,10.7
59,59,515,10.299999999999999,534,10.68
60,60,515,10.299999999999999,534,10.68
61,61,516,10.32,537,10.74
62,62,515,10.299999999999999,535,10.7
63,63,515,10.299999999999999,536,10.72
64,64,517,10.34,535,10.7
65,65,518,10.36,535,10.7
66,66,515,10.299999999999999,535,10.7
67,67,519,10.38,536,10.72
68,68,518,10.36,537,10.74
69,69,519,10.38,536,10.72
70,70,518,10.36,537,10.74
71,71,519,10.38,536,10.72
72,72,517,10.34,537,10.74
73,73,517,10.34,537,10.74
74,74,516,10.32,538,10.76
75,75,516,10.32,539,10.780000000000001
76,76,516,10.32,540,10.8
77,77,516,10.32,539,10.780000000000001
78,78,515,10.299999999999999,539,10.780000000000001
79,79,516,10.32,539,10.780000000000001
80,80,516,10.32,538,10.76
81,81,516,10.32,539,10.780000000000001
82,82,516,10.32,537,10.74
83,83,515,10.299999999999999,538,10.76
84,84,515,10.299999999999999,537,10.74
85,85,514,10.280000000000001,539,10.780000000000001
86,86,514,10.280000000000001,539,10.780000000000001
87,87,514,10.280000000000001,540,10.8
88,88,514,10.280000000000001,539,10.780000000000001
89,89,514,10.280000000000001,539,10.780000000000001
90,90,513,10.26,540,10.8
91,91,514,10.280000000000001,539,10.780000000000001
92,92,513,10.26,540,10.8
93,93,513,10.26,539,10.780000000000001
94,94,514,10.280000000000001,539,10.780000000000001
95,95,513,10.26,540,10.8
96,96,514,10.280000000000001,539,10.780000000000001
97,97,515,10.299999999999999,539,10.780000000000001
98,98,514,10.280000000000001,538,10.76
99,99,513,10.26,539,10.780000000000001
100,100,515,10.299999999999999,538,10.76
101,101,513,10.26,539,10.780000000000001
102,102,515,10.299999999999999,538,10.76
103,103,513,10.26,539,10.780000000000001
104,104,515,10.299999999999999,538,10.76
105,105,513,10.26,538,10.76
106,106,513,10.26,537,10.74
107,107,514,10.280000000000001,537,10.74
108,108,513,10.26,537,10.74
109,109,514,10.280000000000001,537,10.74
110,110,513,10.26,537,10.74
111,111,515,10.299999999999999,538,10.76
112,112,513,10.26,537,10.74
113,113,513,10.26,538,10.76
114,114,513,10.26,538,10.76
115,115,513,10.26,538,10.76
116,116,513,10.26,538,10.76
117,117,513,10.26,538,10.76
118,118,513,10.26,537,10.74
119,119,513,10.26,538,10.76
120,120,513,10.26,538,10.76
121,121,513,10.26,538,10.76
122,122,513,10.26,538,10.76
123,123,514,10.280000000000001,540,10.8
124,124,513,10.26,537,10.74
125,125,513,10.26,539,10.780000000000001
126,126,514,10.280000000000001,537,10.74
127,127,513,10.26,537,10.74
128,128,514,10.280000000000001,537,10.74
129,129,514,10.280000000000001,537,10.74
130,130,514,10.280000000000001,538,10.76
131,131,514,10.280000000000001,537,10.74
132,132,514,10.280000000000001,537,10.74
133,133,514,10.280000000000001,537,10.74
134,134,514,10.280000000000001,537,10.74
135,135,514,10.280000000000001,537,10.74
136,136,514,10.280000000000001,537,10.74
137,137,514,10.280000000000001,537,10.74
138,138,514,10.280000000000001,537,10.74
139,139,514,10.280000000000001,536,10.72
140,140,513,10.26,537,10.74
141,141,513,10.26,537,10.74
142,142,513,10.26,537,10.74
143,143,513,10.26,537,10.74
144,144,513,10.26,537,10.74
145,145,513,10.26,537,10.74
146,146,513,10.26,536,10.72
147,147,513,10.26,536,10.72
148,148,513,10.26,536,10.72
149,149,513,10.26,536,10.72
150,150,513,10.26,536,10.72
151,151,514,10.280000000000001,536,10.72
152,152,513,10.26,536,10.72
153,153,513,10.26,536,10.72
154,154,513,10.26,536,10.72
155,155,513,10.26,536,10.72
156,156,513,10.26,536,10.72
157,157,513,10.26,536,10.72
158,158,513,10.26,536,10.72
159,159,513,10.26,536,10.72
160,160,513,10.26,536,10.72
161,161,514,10.280000000000001,536,10.72
162,162,513,10.26,536,10.72
163,163,513,10.26,536,10.72
164,164,513,10.26,536,10.72
165,165,513,10.26,536,10.72
166,166,513,10.26,536,10.72
167,167,513,10.26,536,10.72
168,168,513,10.26,536,10.72
169,169,513,10.26,536,10.72
170,170,513,10.26,536,10.72
171,171,513,10.26,536,10.72
172,172,513,10.26,536,10.72
173,173,513,10.26,536,10.72
174,174,513,10.26,536,10.72
175,175,513,10.26,536,10.72
176,176,514,10.280000000000001,536,10.72
177,177,514,10.280000000000001,536,10.72
178,178,513,10.26,536,10.72
179,179,514,10.280000000000001,536,10.72
180,180,513,10.26,536,10.72
181,181,514,10.280000000000001,536,10.72
182,182,514,10.280000000000001,536,10.72
183,183,514,10.280000000000001,536,10.72
184,184,513,10.26,536,10.72
185,185,514,10.280000000000001,536,10.72
186,186,514,10.280000000000001,537,10.74
187,187,514,10.280000000000001,536,10.72
188,188,514,10.280000000000001,537,10.74
189,189,514,10.280000000000001,536,10.72
190,190,514,10.280000000000001,537,10.74
191,191,514,10.280000000000001,537,10.74
192,192,514,10.280000000000001,537,10.74
193,193,514,10.280000000000001,537,10.74
194,194,514,10.280000000000001,537,10.74
195,195,514,10.280000000000001,537,10.74
196,196,514,10.280000000000001,536,10.72
197,197,513,10.26,537,10.74
198,198,513,10.26,536,10.72
199,199,513,10.26,537,10.74
200,200,513,10.26,537,10.74
