,T,Training Error,Training Error %,Testing Error,Testing Error %
0,0,596,11.92,624,12.479999999999999
1,1,2071,41.42,2038,40.760000000000005
2,2,985,19.7,1015,20.3
3,3,3099,61.980000000000004,3072,61.44
4,4,544,10.879999999999999,583,11.66
5,5,4018,80.36,3991,79.82000000000001
6,6,2096,41.92,2036,40.72
7,7,2071,41.42,2038,40.760000000000005
8,8,1635,32.7,1700,34.0
9,9,3686,73.72,3692,73.83999999999999
10,10,544,10.879999999999999,583,11.66
11,11,2018,40.36,2021,40.42
12,12,3694,73.88,3706,74.11999999999999
13,13,1944,38.879999999999995,1916,38.32
14,14,2508,50.160000000000004,2502,50.03999999999999
15,15,3686,73.72,3692,73.83999999999999
16,16,1294,25.88,1292,25.840000000000003
17,17,1731,34.62,1795,35.9
18,18,3209,64.18,3169,63.38
19,19,920,18.4,956,19.12
20,20,3456,69.12,3487,69.74000000000001
21,21,2384,47.68,2351,47.02
22,22,2071,41.42,2038,40.760000000000005
23,23,544,10.879999999999999,583,11.66
24,24,2794,55.879999999999995,2749,54.98
25,25,3145,62.9,3130,62.6
26,26,2856,57.120000000000005,2838,56.76
27,27,2340,46.800000000000004,2373,47.46
28,28,544,10.879999999999999,583,11.66
29,29,3759,75.18,3772,75.44
30,30,3099,61.980000000000004,3072,61.44
31,31,596,11.92,624,12.479999999999999
32,32,3686,73.72,3692,73.83999999999999
33,33,1815,36.3,1834,36.68
34,34,544,10.879999999999999,583,11.66
35,35,4095,81.89999999999999,4106,82.12
36,36,1229,24.58,1209,24.18
37,37,2904,58.08,2964,59.28
38,38,3875,77.5,3859,77.18
39,39,1601,32.019999999999996,1647,32.940000000000005
40,40,3686,73.72,3692,73.83999999999999
41,41,839,16.78,858,17.16
42,42,3258,65.16,3210,64.2
43,43,2320,46.400000000000006,2458,49.16
44,44,2062,41.24,2019,40.38
45,45,3099,61.980000000000004,3072,61.44
46,46,544,10.879999999999999,583,11.66
47,47,4319,86.38,4308,86.16
48,48,2071,41.42,2038,40.760000000000005
49,49,1084,21.68,1078,21.560000000000002
50,50,4319,86.38,4308,86.16
51,51,1226,24.52,1278,25.56
52,52,2624,52.480000000000004,2658,53.16
53,53,4319,86.38,4308,86.16
54,54,544,10.879999999999999,583,11.66
55,55,4195,83.89999999999999,4195,83.89999999999999
56,56,596,11.92,624,12.479999999999999
57,57,4319,86.38,4308,86.16
58,58,596,11.92,624,12.479999999999999
59,59,4319,86.38,4308,86.16
60,60,3686,73.72,3692,73.83999999999999
61,61,839,16.78,858,17.16
62,62,2783,55.66,2816,56.32
63,63,4319,86.38,4308,86.16
64,64,1704,34.08,1668,33.36
65,65,4319,86.38,4308,86.16
66,66,544,10.879999999999999,583,11.66
67,67,4244,84.88,4236,84.72
68,68,596,11.92,624,12.479999999999999
69,69,4319,86.38,4308,86.16
70,70,596,11.92,624,12.479999999999999
71,71,4319,86.38,4308,86.16
72,72,2210,44.2,2273,45.46
73,73,3099,61.980000000000004,3072,61.44
74,74,596,11.92,624,12.479999999999999
75,75,3056,61.12,3084,61.68
76,76,596,11.92,624,12.479999999999999
77,77,4319,86.38,4308,86.16
78,78,3686,73.72,3692,73.83999999999999
79,79,1811,36.22,1825,36.5
80,80,1078,21.560000000000002,1077,21.54
81,81,4319,86.38,4308,86.16
82,82,544,10.879999999999999,583,11.66
83,83,2904,58.08,2964,59.28
84,84,2658,53.16,2617,52.339999999999996
85,85,3433,68.66,3407,68.14
86,86,1731,34.62,1795,35.9
87,87,3258,65.16,3210,64.2
88,88,2478,49.559999999999995,2490,49.8
89,89,3875,77.5,3859,77.18
90,90,3099,61.980000000000004,3072,61.44
91,91,596,11.92,624,12.479999999999999
92,92,4319,86.38,4308,86.16
93,93,2071,41.42,2038,40.760000000000005
94,94,603,12.06,618,12.36
95,95,4319,86.38,4308,86.16
96,96,1973,39.46,1990,39.800000000000004
97,97,544,10.879999999999999,583,11.66
98,98,4244,84.88,4236,84.72
99,99,3686,73.72,3692,73.83999999999999
100,100,594,11.88,614,12.280000000000001
101,101,4319,86.38,4308,86.16
102,102,544,10.879999999999999,583,11.66
103,103,3759,75.18,3772,75.44
104,104,1084,21.68,1078,21.560000000000002
105,105,4319,86.38,4308,86.16
106,106,2912,58.24,2902,58.040000000000006
