,Iterations,Cost
0,0,18.67775119
1,1,17.44205164
2,2,16.7291029
3,3,16.28246331
4,4,15.99149135
5,5,15.79824411
6,6,15.66854202
7,7,15.58090328
8,8,15.52138496
9,9,15.48078121
10,10,15.45295278
11,11,15.43377896
12,12,15.42048139
13,13,15.41118052
14,14,15.40460168
15,15,15.39987873
16,16,15.39642226
17,17,15.39383071
18,18,15.39183023
19,19,15.39023397
20,20,15.38891436
21,21,15.38778425
22,22,15.38678411
23,23,15.38587323
24,24,15.38502381
25,25,15.38421682
26,26,15.38343927
27,27,15.38268224
28,28,15.38193968
29,29,15.3812074
30,30,15.38048257
31,31,15.37976323
32,32,15.37904806
33,33,15.37833614
34,34,15.37762686
35,35,15.37691977
36,36,15.37621458
37,37,15.3755111
38,38,15.37480919
39,39,15.37410874
40,40,15.3734097
41,41,15.37271202
42,42,15.37201567
43,43,15.37132062
44,44,15.37062685
45,45,15.36993436
46,46,15.36924314
47,47,15.36855318
48,48,15.36786447
49,49,15.36717702
50,50,15.36649081
51,51,15.36580584
52,52,15.36512211
53,53,15.36443962
54,54,15.36375837
55,55,15.36307835
56,56,15.36239956
57,57,15.361722
58,58,15.36104566
59,59,15.36037055
60,60,15.35969665
61,61,15.35902398
62,62,15.35835252
63,63,15.35768228
64,64,15.35701325
65,65,15.35634543
66,66,15.35567882
67,67,15.35501342
68,68,15.35434922
69,69,15.35368622
70,70,15.35302442
71,71,15.35236381
72,72,15.3517044
73,73,15.35104619
74,74,15.35038916
75,75,15.34973332
76,76,15.34907867
77,77,15.34842521
78,78,15.34777292
79,79,15.34712182
80,80,15.34647189
81,81,15.34582314
82,82,15.34517556
83,83,15.34452915
84,84,15.34388392
85,85,15.34323985
86,86,15.34259694
87,87,15.3419552
88,88,15.34131462
89,89,15.3406752
90,90,15.34003693
91,91,15.33939982
92,92,15.33876386
93,93,15.33812905
94,94,15.33749539
95,95,15.33686288
96,96,15.33623151
97,97,15.33560128
98,98,15.33497219
99,99,15.33434424
100,100,15.33371743
101,101,15.33309175
102,102,15.3324672
103,103,15.33184378
104,104,15.33122149
105,105,15.33060032
106,106,15.32998028
107,107,15.32936136
108,108,15.32874356
109,109,15.32812688
110,110,15.32751131
111,111,15.32689685
112,112,15.32628351
113,113,15.32567128
114,114,15.32506015
115,115,15.32445013
116,116,15.32384121
117,117,15.3232334
118,118,15.32262668
119,119,15.32202106
120,120,15.32141654
121,121,15.32081311
122,122,15.32021077
123,123,15.31960952
124,124,15.31900936
125,125,15.31841028
126,126,15.31781229
127,127,15.31721538
128,128,15.31661955
129,129,15.3160248
130,130,15.31543112
131,131,15.31483852
132,132,15.31424699
133,133,15.31365652
134,134,15.31306713
135,135,15.3124788
136,136,15.31189154
137,137,15.31130534
138,138,15.3107202
139,139,15.31013612
140,140,15.30955309
141,141,15.30897112
142,142,15.3083902
143,143,15.30781034
144,144,15.30723152
145,145,15.30665375
146,146,15.30607702
147,147,15.30550134
148,148,15.3049267
149,149,15.30435309
150,150,15.30378053
151,151,15.303209
152,152,15.30263851
153,153,15.30206904
154,154,15.30150061
155,155,15.3009332
156,156,15.30036683
157,157,15.29980147
158,158,15.29923714
159,159,15.29867383
160,160,15.29811154
161,161,15.29755026
162,162,15.29699
163,163,15.29643076
164,164,15.29587252
165,165,15.2953153
166,166,15.29475908
167,167,15.29420387
168,168,15.29364966
169,169,15.29309646
170,170,15.29254426
171,171,15.29199305
172,172,15.29144285
173,173,15.29089363
174,174,15.29034542
175,175,15.28979819
176,176,15.28925195
177,177,15.2887067
178,178,15.28816244
179,179,15.28761916
180,180,15.28707687
181,181,15.28653555
182,182,15.28599522
183,183,15.28545586
184,184,15.28491748
185,185,15.28438007
186,186,15.28384363
187,187,15.28330816
188,188,15.28277367
189,189,15.28224014
190,190,15.28170757
191,191,15.28117597
192,192,15.28064533
193,193,15.28011565
194,194,15.27958692
195,195,15.27905916
196,196,15.27853235
197,197,15.27800649
198,198,15.27748158
199,199,15.27695762
200,200,15.27643461
201,201,15.27591255
202,202,15.27539143
203,203,15.27487125
204,204,15.27435201
205,205,15.27383372
206,206,15.27331636
207,207,15.27279993
208,208,15.27228444
209,209,15.27176988
210,210,15.27125626
211,211,15.27074356
212,212,15.27023179
213,213,15.26972095
214,214,15.26921103
215,215,15.26870203
216,216,15.26819395
217,217,15.26768679
218,218,15.26718055
219,219,15.26667523
220,220,15.26617082
221,221,15.26566732
222,222,15.26516473
223,223,15.26466305
224,224,15.26416228
225,225,15.26366241
226,226,15.26316345
227,227,15.26266539
228,228,15.26216824
229,229,15.26167198
230,230,15.26117662
231,231,15.26068215
232,232,15.26018858
233,233,15.2596959
234,234,15.25920412
235,235,15.25871322
236,236,15.25822321
237,237,15.25773409
238,238,15.25724585
239,239,15.25675849
240,240,15.25627202
241,241,15.25578643
242,242,15.25530171
243,243,15.25481788
244,244,15.25433491
245,245,15.25385282
246,246,15.25337161
247,247,15.25289126
248,248,15.25241178
249,249,15.25193317
250,250,15.25145543
